rental_date,return_date,amount,release_year,rental_rate,length,replacement_cost,special_features,NC-17,PG,PG-13,R,amount_2,length_2,rental_rate_2
2005-05-25 02:54:33+00:00,2005-05-28 23:40:33+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-06-15 23:19:16+00:00,2005-06-18 19:24:16+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-07-10 04:27:45+00:00,2005-07-17 10:11:45+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-07-31 12:06:41+00:00,2005-08-02 14:30:41+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-08-19 12:30:04+00:00,2005-08-23 13:35:04+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-05-29 16:51:44+00:00,2005-06-01 21:43:44+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-06-17 19:42:42+00:00,2005-06-22 20:39:42+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-07-09 18:23:46+00:00,2005-07-13 19:04:46+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-07-27 13:16:28+00:00,2005-07-28 13:40:28+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-08-21 13:53:52+00:00,2005-08-25 09:03:52+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-06-18 12:27:59+00:00,2005-06-22 14:58:59+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-07-10 22:40:25+00:00,2005-07-12 19:39:25+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-07-30 09:55:31+00:00,2005-08-01 07:19:31+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-08-17 17:12:20+00:00,2005-08-21 15:16:20+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-07-07 21:54:37+00:00,2005-07-14 17:56:37+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-07-31 03:52:30+00:00,2005-08-08 09:22:30+00:00,4.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,24.9001,15876.0,8.940100000000001
2005-08-22 22:57:39+00:00,2005-08-23 23:00:39+00:00,2.99,2005.0,2.99,126.0,16.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,15876.0,8.940100000000001
2005-05-25 03:03:39+00:00,2005-06-02 02:12:39+00:00,3.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,15.9201,24336.0,8.940100000000001
2005-06-17 20:11:08+00:00,2005-06-22 17:01:08+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,8.940100000000001,24336.0,8.940100000000001
2005-07-06 18:13:45+00:00,2005-07-14 17:35:45+00:00,3.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,15.9201,24336.0,8.940100000000001
2005-07-27 06:31:15+00:00,2005-07-29 06:52:15+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,8.940100000000001,24336.0,8.940100000000001
2005-08-17 20:22:05+00:00,2005-08-26 16:34:05+00:00,4.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,24.9001,24336.0,8.940100000000001
2005-05-31 18:33:56+00:00,2005-06-07 15:30:56+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,8.940100000000001,24336.0,8.940100000000001
2005-06-16 08:51:13+00:00,2005-06-24 04:23:13+00:00,3.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,15.9201,24336.0,8.940100000000001
2005-07-12 22:32:02+00:00,2005-07-17 03:21:02+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,8.940100000000001,24336.0,8.940100000000001
2005-07-29 07:12:26+00:00,2005-08-02 03:26:26+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,8.940100000000001,24336.0,8.940100000000001
2005-08-19 07:10:21+00:00,2005-08-26 05:00:21+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,8.940100000000001,24336.0,8.940100000000001
2005-07-27 07:03:37+00:00,2005-07-29 03:18:37+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,8.940100000000001,24336.0,8.940100000000001
2005-08-21 11:13:46+00:00,2005-08-25 13:07:46+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,8.940100000000001,24336.0,8.940100000000001
2005-07-28 12:40:46+00:00,2005-07-30 18:22:46+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,8.940100000000001,24336.0,8.940100000000001
2005-08-22 10:30:10+00:00,2005-08-28 13:43:10+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,8.940100000000001,24336.0,8.940100000000001
2005-08-01 01:24:24+00:00,2005-08-03 21:44:24+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,8.940100000000001,24336.0,8.940100000000001
2005-08-19 17:43:35+00:00,2005-08-26 13:31:35+00:00,2.99,2009.0,2.99,156.0,14.99,"{Trailers,""Behind the Scenes""}",0,0,0,0,8.940100000000001,24336.0,8.940100000000001
2005-05-25 03:04:41+00:00,2005-06-03 05:43:41+00:00,4.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,24.9001,32761.0,0.9801
2005-06-16 04:46:02+00:00,2005-06-18 00:11:02+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,0.9801,32761.0,0.9801
2005-07-10 10:33:39+00:00,2005-07-19 11:47:39+00:00,3.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,15.9201,32761.0,0.9801
2005-07-29 02:23:49+00:00,2005-07-31 04:07:49+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,0.9801,32761.0,0.9801
2005-08-21 04:31:03+00:00,2005-08-27 07:18:03+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,0.9801,32761.0,0.9801
2005-05-28 02:31:36+00:00,2005-06-03 23:12:36+00:00,1.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,3.9601,32761.0,0.9801
2005-06-16 00:52:36+00:00,2005-06-21 23:55:36+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,0.9801,32761.0,0.9801
2005-07-09 03:56:09+00:00,2005-07-16 23:15:09+00:00,2.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,32761.0,0.9801
2005-07-29 05:38:43+00:00,2005-08-04 03:00:43+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,0.9801,32761.0,0.9801
2005-08-23 05:07:01+00:00,2005-08-25 03:28:01+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,0.9801,32761.0,0.9801
2005-05-31 19:51:39+00:00,2005-06-03 18:04:39+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,0.9801,32761.0,0.9801
2005-06-21 11:04:53+00:00,2005-06-25 12:36:53+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,0.9801,32761.0,0.9801
2005-07-09 14:52:53+00:00,2005-07-16 16:41:53+00:00,1.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,3.9601,32761.0,0.9801
2005-07-28 05:00:09+00:00,2005-07-30 10:49:09+00:00,0.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,0.9801,32761.0,0.9801
2005-08-23 21:42:00+00:00,2005-09-01 02:32:00+00:00,2.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,8.940100000000001,32761.0,0.9801
2005-06-01 00:04:10+00:00,2005-06-09 20:34:10+00:00,3.99,2006.0,0.99,181.0,21.99,"{Trailers,""Behind the Scenes""}",0,0,0,1,15.9201,32761.0,0.9801
